110;OM0101;RepararMantenerPlantaExternaInterna
111;OM0108;ImplementarCoordinarControlarServicios
112;OM0113;RealizarMantenimientoAbonados
113;OM0114;RealizarMantenimientoCorrectivo
114;OM0115;RealizarMantenimientoPreventivo
115;OM0116;RealizarInstalación y Reinstalaciones Ab
116;OM0118;Gtos de hurto y vandalismo
117;OM0119;Contingencia - Hurto y Vandalismo
118;OM0120;Instalación ABA
119;OM0121;Mantenimiento ABA
120;OM0123;Reubicaciones TP
121;OM0125;Mantenimiento Integral
122;OM0126;Mi Línea Acometida Menor
123;OM0127;Mi Línea Acometida Mayor
124;OM0129;Mantenimiento por Punto Baremos de TP
